url,thumb,fb_shares,comments,ts
/news/wavegarden-announces-bristol-location-right-before-the-founders-cup/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Screen-Shot-2018-05-01-at-4.55.31-PM.png,0,6,1525230233.190672
/news/the-misadventures-and-successes-of-a-surf-trip-with-tyler-allen/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Screen-Shot-2018-05-01-at-11.11.36-AM.png,116,6,1525230233.190672
/news/in-what-many-see-as-kauais-fight-for-survival-dustin-barcas-leading-a-charge/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-DSCF1148.jpg,299,8,1525230233.190672
/news/olympic-fever-turns-tati-weston-webb-into-a-brazilian-nationalist/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Screen-Shot-2018-04-30-at-11.26.23-AM.png,828,48,1525230233.190672
/news/we-got-our-grubby-hands-on-the-surf-ranchs-development-plans/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-surf-ranch-.png,322,53,1525230233.190672
/news/ian-walsh-dominates-big-wave-awards/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Screen-Shot-2018-04-29-at-11.51.09-AM.png,0,23,1525230233.190672
/news/id-rather-surf-with-sharks-than-be-on-land-tempted-by-the-devil/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-image1-1.JPG,801,24,1525230233.190672
/news/extreme-australianism-man-wrestles-shark-to-death-to-save-his-own-skin-matthew-lee-lennox-head/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-matt-lee-shark.png,246,18,1525230233.190672
/news/theres-nowhere-to-hide-now-mick-fanning/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Mick-CoreyW.jpg,335,13,1525230233.190672
/news/youll-love-italo-ferreiras-new-tattoo-as-much-as-we-do-promise/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-unnamed13.jpg,713,37,1525230233.190672
/news/the-quiksilver-billabong-merger-is-getting-messy-already/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-quicksilver4.jpg,175,0,1525230233.190672
/news/extortion-terrorism-pirates-and-200-dollar-drama-during-the-kauai-floods/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Screen-Shot-2018-04-24-at-4.34.38-PM.png,0,0,1525230233.190672
/news/no-matter-how-good-it-is-it-doesnt-bring-my-brother-back-the-andy-irons-documentary-review/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Steve-Sherman-Andy-Portrait.jpg,1545,0,1525230233.190672
/news/meet-the-man-changing-street-kids-lives-surfing/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-image3-2.jpeg,593,0,1525230233.190672
/news/just-another-shark-incident-in-gracetown-wa/,/assets/post-hero-banners/_resampled/FillWyI2MDAiLCIzNTAiXQ-Chris-Gurney-Shark.jpg,458,0,1525230233.190672
